iter	PRAUC	Logloss
0	0.886474533	0.5729182433
1	0.8977384729	0.5285250119
2	0.897889695	0.4967925801
3	0.9038733703	0.4707922815
4	0.904349141	0.4567955894
5	0.9062376995	0.4458893826
6	0.9125148122	0.4338982941
7	0.9157389385	0.4246922594
8	0.9179972697	0.4183121203
9	0.9179157752	0.4136835427
10	0.917862372	0.4081386251
11	0.9193680623	0.4034719724
12	0.9197582071	0.4003538957
13	0.9198694091	0.3979179013
14	0.9223086408	0.3915353038
15	0.9231708779	0.3882683118
16	0.9246834281	0.3840223153
17	0.9257986425	0.3761123509
18	0.9270433569	0.373113217
19	0.9286234649	0.3688046725
20	0.9294071082	0.3654837586
21	0.9310913827	0.3619887043
22	0.9319524188	0.3583839201
23	0.932372497	0.3559676021
24	0.9328674012	0.3545440281
25	0.933161192	0.3527739684
26	0.9334123463	0.3519756995
27	0.9340342672	0.3490249141
28	0.9343400696	0.3482286463
29	0.934464062	0.3478035169
30	0.9346740075	0.3472686121
31	0.9352642393	0.3457533777
32	0.9356465682	0.3439993714
33	0.9358434445	0.343363485
34	0.9359556699	0.3424081078
35	0.9364158093	0.3411913068
36	0.9365836811	0.3408635235
37	0.9366418877	0.3404952962
38	0.9372552889	0.3390165469
39	0.9373583279	0.3386862904
40	0.9374367118	0.3383048456
41	0.9375496314	0.3378335358
42	0.9376999089	0.3372251803
43	0.9382285173	0.334547199
44	0.9384063166	0.3340451466
45	0.9386004773	0.3335440186
46	0.9387103071	0.3329310844
47	0.9388145492	0.3326706909
48	0.9388507373	0.3325695622
49	0.9392965801	0.3298519307
50	0.9394191263	0.329016587
51	0.9394839863	0.3288871784
52	0.9395324538	0.3286856623
53	0.93966493	0.3283959322
54	0.9397999888	0.3282148441
55	0.9399469838	0.327867712
56	0.9400419452	0.3276469155
57	0.9404219606	0.3262868077
58	0.9405771001	0.3259315791
59	0.9405974414	0.3258361395
60	0.9407257443	0.3255617665
61	0.9410913582	0.3248565394
62	0.9412385461	0.3243128786
63	0.9413421125	0.3240116467
64	0.9417075146	0.3233306953
65	0.9418263498	0.3230828465
66	0.9421101699	0.3224720673
67	0.9423091674	0.3221194961
68	0.9425838815	0.3206235089
69	0.9427526957	0.3202202508
70	0.942865485	0.3199413105
71	0.9429879837	0.3190092655
72	0.9432331753	0.318116238
73	0.9433419523	0.317826363
74	0.943359283	0.3176297839
75	0.9435527159	0.3172696921
76	0.9436276715	0.3170463241
77	0.9436445554	0.3168955027
78	0.9437642232	0.3166081168
79	0.9438579133	0.3164216459
80	0.9440871571	0.315937026
81	0.944150272	0.3157539406
82	0.9441755117	0.3156522091
83	0.9442264333	0.3154192846
84	0.9442913179	0.3152668967
85	0.9448844377	0.313996376
86	0.9451044061	0.313191894
87	0.9452150604	0.3129260776
88	0.9456694568	0.3118946339
89	0.9457708523	0.3117457908
90	0.945866335	0.3114811881
91	0.9460419976	0.3111159496
92	0.946074596	0.3108593539
93	0.9462694957	0.3104367765
94	0.9465205482	0.3099659008
95	0.9466376845	0.30975101
96	0.9467749197	0.3094802078
97	0.9468274836	0.3093114845
98	0.9469574101	0.3087262987
99	0.9470444934	0.3082938279
100	0.9471130991	0.3081571165
101	0.9472439671	0.3078280699
102	0.9473498668	0.3075103822
103	0.9473631559	0.307455647
104	0.9474460986	0.3072872957
105	0.9477337388	0.3067011308
106	0.947790552	0.3065885524
107	0.9477817489	0.3063051659
108	0.9480466292	0.3057318082
109	0.948148931	0.3055749206
110	0.9485508748	0.3048080705
111	0.9486101846	0.3046649196
112	0.9486099362	0.304594093
113	0.9487499338	0.3036347673
114	0.9488862585	0.3033262216
115	0.9489721795	0.3030850434
116	0.9490129082	0.3029940668
117	0.9490161219	0.3029851875
118	0.9490662437	0.3028355926
119	0.9491244685	0.3026535207
120	0.9494405614	0.3018664914
121	0.9496538074	0.301322721
122	0.949855615	0.3000131835
123	0.9499336621	0.2997513862
124	0.9500419807	0.2990387808
125	0.9503349217	0.2982913916
126	0.9503881332	0.298152458
127	0.9504284457	0.2979994129
128	0.9504985656	0.2977761532
129	0.9507736747	0.2971823199
130	0.9510726497	0.2964863598
131	0.9511117732	0.2963861762
132	0.9511732762	0.2962888194
133	0.9512743443	0.2960700186
134	0.9512858087	0.296030122
135	0.951291417	0.2959874319
136	0.9514144765	0.2957419349
137	0.9514697891	0.2954521848
138	0.9515775675	0.2951902987
139	0.9516582743	0.2949042237
140	0.95170582	0.2947554876
141	0.9517085851	0.2947481009
142	0.9517216369	0.2947137283
143	0.9517787907	0.2945267177
144	0.9517795444	0.2945248823
145	0.9517772116	0.2944216105
146	0.9518800601	0.2942408283
147	0.9519501669	0.2940751779
148	0.9519933356	0.2939304781
149	0.9519942686	0.2939272319
150	0.9520523318	0.2936115032
151	0.9520735152	0.2933806728
152	0.9521478056	0.2930348595
153	0.9521993588	0.2928961723
154	0.9522473196	0.2927814231
155	0.9523036996	0.2923995161
156	0.9523059741	0.2923931944
157	0.9524337599	0.2920789959
158	0.9524882355	0.2917225396
159	0.9525475848	0.2915475173
160	0.9526013211	0.2913761017
161	0.9526664932	0.2912597505
162	0.9527202407	0.2911104746
163	0.9527250145	0.291047844
164	0.9527261066	0.2909298743
165	0.9527741587	0.2908409844
166	0.9527808926	0.2907533116
167	0.9528732829	0.2905032193
168	0.9528809167	0.2904914717
169	0.95303524	0.2900846002
170	0.9531479892	0.289836494
171	0.9531343044	0.2896398812
172	0.9534939438	0.2888245215
173	0.9536068358	0.2882399903
174	0.9538600818	0.2877269558
175	0.953901615	0.2876490939
176	0.9539519522	0.2875403565
177	0.9542619814	0.2867623587
178	0.9543399465	0.2865551815
179	0.9544220069	0.2864003223
180	0.9545098339	0.2862250525
181	0.95456259	0.2861353595
182	0.9545972081	0.2860800681
183	0.9546620845	0.2860010035
184	0.9550287585	0.2852174981
185	0.9550652292	0.2851186307
186	0.955137794	0.2848968773
187	0.9551766701	0.2847493619
188	0.9552929375	0.2844615195
189	0.9553844721	0.2837715268
190	0.9554594223	0.2836165939
191	0.9554914654	0.2835165764
192	0.9555301233	0.2834627863
193	0.9555935388	0.2833471539
194	0.9556236322	0.2832703137
195	0.95562612	0.2832651536
196	0.9556921883	0.2831642187
197	0.9556946423	0.2831595802
198	0.9558104882	0.2828283352
